,u,g,r,i,z,redshift,class
28234,0.5535750024328487,0.46730389062947186,0.44048873431059254,0.3695826142057142,0.3954648751097987,0.053072029784155046,0
25091,0.5259419715072093,0.510226951806384,0.5426022251375838,0.45236251203986044,0.5023328385278802,0.08697678521259986,0
4799,0.511343042695119,0.5334026091686711,0.6069254407262052,0.5377099430312868,0.5997088118210302,0.0013756537981587116,1
38003,0.4444323567052067,0.4589462491541904,0.5171371442430526,0.45786588108356163,0.5057529289645395,0.09571061463877976,2
42912,0.43262018732017565,0.4571693381930663,0.5089613611081434,0.45783632864900786,0.5081022812387606,0.16184044485924776,2
13582,0.5026577725387373,0.5156785146351125,0.5846234314390177,0.5130636536945152,0.5825031572108146,0.0012593606889984741,1
54669,0.4445080963371395,0.45368517118049445,0.48417324943708256,0.4274621599821486,0.47851409866783884,0.18636938801783143,2
50455,0.5815702065075491,0.5179515391365824,0.5833267087903212,0.5130146936910008,0.5527521131905281,0.25695360355892055,2
50177,0.43059587352124107,0.4528985919283702,0.5089800954845596,0.4456832207495848,0.4914727110721054,0.28203202421299445,2
53464,0.43787559972017637,0.4082616408990886,0.42529869937857573,0.37685074878150243,0.39297491574575355,0.0529117868784588,2
42745,0.46718637825014825,0.48085958896969494,0.547495441723684,0.48516350898903465,0.5345541164571647,0.3208324275790972,2
51442,0.4873569898040684,0.5257907964541386,0.5919556613007023,0.5210264910228747,0.6150572389714096,0.2227293308123361,2
8700,0.46893160298111186,0.3866141269633681,0.3908978272680368,0.3382116022240545,0.36819367483558463,0.0014209807913880736,1
55982,0.5061298608777718,0.47404430620866905,0.5254111562705224,0.46683261902452544,0.5255623436409964,0.41718682432262627,2
3123,0.3572776146698027,0.3343847907793958,0.3679082157329268,0.3289308145308174,0.36819772108277365,0.0013888113059723794,1
10590,0.43863758632022887,0.4026612913925485,0.42872000157976364,0.378196487256483,0.4205242955142242,0.0013785957530821423,1
49374,0.49071661626538426,0.5446810184211175,0.5911217283829348,0.5235388890410619,0.5903220241230176,0.17412336053798647,2
32646,0.5572518172921384,0.48748865146199505,0.48751100644614453,0.4170826392370674,0.4555966603691887,0.030392125398303903,0
9305,0.44510620991537353,0.41459265619284263,0.4470346266972965,0.3940639392063195,0.437432045175136,0.0014927658253343894,1
51324,0.47267130468630936,0.47708258703072964,0.507595776967755,0.42726499672475216,0.4559997677454114,0.07492314606891565,2
7693,0.3016870199713933,0.2870398274453612,0.32420648523351375,0.29149096751891923,0.32448560691710004,0.0013338904890813122,1
24949,0.6026345457182779,0.5919245793696374,0.5522478973194146,0.45296591100209366,0.48057920207701954,0.07899070379032697,0
56122,0.46006226256772953,0.4830928106656356,0.5389449710604518,0.48203183308855535,0.5329553430365376,0.30888492390188255,2
54173,0.4308295188100523,0.4471996830938531,0.495419951300748,0.43516431837287656,0.4788711799822846,0.320454287934067,2
16312,0.41103714638772443,0.3904622053407784,0.4257346533811245,0.3779957953501848,0.42279474596825606,0.0014473742129533708,1
48776,0.5473615984459145,0.5034400996207362,0.562052052199036,0.5124470222988997,0.5643886143257282,0.4282349111040346,2
30498,0.3389885591843255,0.2989399186127396,0.3131213040746257,0.26991063299682816,0.2860629493894896,0.009661756626966748,0
43096,0.5038039656353223,0.536056129537283,0.5966377364012478,0.5376486327566155,0.631806173430146,0.2597401580429191,2
17659,0.6194193662107599,0.5683532631666733,0.5760066309565823,0.47030436846292983,0.4978789319343838,0.0014194255229676312,1
40231,0.45951096985287226,0.4898952996677414,0.5594864552990183,0.4980033801809995,0.5548076067626345,0.2861531054291713,2
51372,0.4328818333213985,0.44004275958536854,0.49801289026364337,0.4381266191260623,0.4937360805935561,0.2622975499322459,2
9901,0.5657240984229631,0.6898200534115744,0.7091994395889779,0.49113927590448436,0.4640725366687359,0.0014233677847229702,1
43440,0.5539357984976929,0.5582405075047243,0.5949288574713959,0.509361218834146,0.5684768413295017,0.0737302472324128,2
36622,0.522192171184421,0.5877054819835444,0.5614824258890854,0.4553583349576145,0.47841193092631196,0.0872030708126089,0
26038,0.5646651206601191,0.5222497682908107,0.5387596526342812,0.4443154282189671,0.4763569431351042,0.08956266219759748,0
45228,0.5693876014681554,0.5640929414462824,0.6121523317463122,0.5124011498631744,0.5560740821328497,0.10679321111359334,2
44334,0.5125172365041156,0.5402714361799922,0.6031800844464674,0.5361194045387335,0.6345267688839747,0.22328763868748427,2
55397,0.5268086165077511,0.5782414172831363,0.6169468131053546,0.5391513961077328,0.6198206834748786,0.17526717955464846,2
27484,0.6683306434288295,0.5933674310700701,0.5775119634183452,0.4693247273115265,0.502922579055704,0.08432648918374266,0
10757,0.44289323557871496,0.3648220909361431,0.37663438446687275,0.32848091179581895,0.3578393282784579,0.0014125570015765764,1
55860,0.4195989379926519,0.43476414942352276,0.48489123175486926,0.42857985952184074,0.4745290509673895,0.09370042143728954,2
9054,0.4836168290707986,0.41387288879285666,0.40293289194467385,0.2942918325848408,0.2835471951996133,0.0014258223653564922,1
10041,0.30517242012452506,0.2974018244847906,0.33944310293932234,0.30720051243039354,0.3448635193236374,0.00150421388558666,1
28892,0.6463142799961074,0.6092387997748299,0.5977217985608961,0.4736645243798102,0.5125718670401151,0.09960132264371876,0
55215,0.45508043089883193,0.3989041908563479,0.40206199660857145,0.33879824010400345,0.3606206174401245,0.01733014235296812,2
41019,0.3536154887088274,0.3927963555793109,0.44931414460609453,0.39127498333044214,0.44450235635733976,0.2537874851751082,2
26296,0.5580101316676123,0.6112232539362132,0.569408079782114,0.45055584380206276,0.4898435907975593,0.09342153810812433,0
9364,0.27234548656057606,0.25786863557878015,0.28887345131264686,0.2597781176748833,0.28718173673729946,0.00144379414915927,1
44554,0.4691115419854617,0.43384347262419903,0.4871074578514506,0.4268168583142048,0.4734451625015862,0.4042003267808182,2
26975,0.6069365568120684,0.5490981821490104,0.5436802112832593,0.4509497292357427,0.4878391810962164,0.07255160518629315,0
20551,0.739149494426481,0.46309142704430056,0.4377145275975087,0.3679056238150632,0.3991307750632012,0.04888687134526671,0
50720,0.47053774220616235,0.5161139762813187,0.5817201094290116,0.5188638703270931,0.5568398344134031,0.2970601909870091,2
53236,0.4020071461490299,0.4299214747508061,0.4969804742227638,0.44057594254512716,0.4985637592711535,0.2314427791525635,2
4132,0.43846223759660247,0.41802849122727215,0.47951395938893515,0.42993662502464,0.4928140420153204,0.0014046703117743728,1
37390,0.517600513376996,0.48627798279381573,0.46408645357748113,0.3886836317930738,0.4153708939378973,0.047754332426490326,0
15752,0.4672465109276223,0.46016497315206,0.5056691742038776,0.4457524704842855,0.5066759791045726,0.0013664545080267225,1
16950,0.4257728655653665,0.3555148682432369,0.36553097526606604,0.31823415646567355,0.3485177863163709,0.001418861422221002,1
25357,0.5076331778146224,0.5968658133703311,0.6270329963002137,0.5279479358440464,0.5734016299396397,0.11738490969216372,0
31752,0.6298516972103945,0.691546737022864,0.6434488670512445,0.5028036659309876,0.5254869822870978,0.11661203783387503,0
13494,0.3104489478158525,0.280582769934098,0.3053384365099578,0.2715183736527784,0.2966509667217917,0.0014277806672591989,1
44806,0.5096079165817465,0.5546037630709572,0.5991020664017186,0.5316031750253523,0.6061661165540724,0.2074046341923882,2
29040,0.4294129581788704,0.4387956050121209,0.4749463158848777,0.4136148595286776,0.45857115783413904,0.02712516977581683,0
50743,0.5803060431963777,0.571772513698799,0.6087538145975223,0.5152002506046451,0.5575555143849904,0.09717701312136608,2
5381,0.33852999014007695,0.3234148532698005,0.35767570186822234,0.3202172571485685,0.35555471595926386,0.0013240492445907375,1
5315,0.37409319004313024,0.34945394341557356,0.41259780483741854,0.37772100181694546,0.43043507222323635,0.0014757068279070713,1
12420,0.5243133399066152,0.5099488060106027,0.5688541498415931,0.5080243019814202,0.5693452671324808,0.0013345022492384866,1
32664,0.4026846715837753,0.3598301557426919,0.37555994266268145,0.3215665242724511,0.34296532361101056,0.007645040338567911,0
28531,0.6298815340350954,0.5704684979747953,0.5602130453032665,0.44960663724743866,0.4707124283061899,0.08565342463792461,0
54372,0.4403965818933623,0.4787448280044958,0.5476964565192846,0.4877306010652021,0.5567133891887411,0.27902599206685214,2
54025,0.5121972939377081,0.5658712739361753,0.6053269427168592,0.5496173687509117,0.5744829895009494,0.1834399807790436,2
39238,0.5301365700320768,0.5697681581346511,0.6168516222197806,0.5440328407824656,0.5817889945819233,0.11852727596894654,2
48685,0.5076951466043857,0.5445682438054515,0.5916331262256458,0.5254756762071189,0.5725018457209444,0.206958130317748,2
53731,0.5836854078648033,0.5986659426346804,0.6578399061458375,0.5673161894808595,0.6308345683238427,0.07431575837392662,2
36918,0.5644333114835971,0.6099917361794236,0.6286218739541028,0.49890539105656007,0.5227284532658704,0.10897383064248212,0
9431,0.3525812984618887,0.39023665610944636,0.45689751637865517,0.3903941443482932,0.41434820496083064,0.0013953533069845242,1
15827,0.5954424938811557,0.4949052408922651,0.48434135249033017,0.37873681161959394,0.3904116181514043,0.0013999412161911022,1
15782,0.41685670428860744,0.4110648956313578,0.4577927157706487,0.4114076896405089,0.46243987592789937,0.0013783172685443166,1
37617,0.6517923210111838,0.6534568736602091,0.6408113706525487,0.48830268326843046,0.5153921013309777,0.09580317695716212,0
26219,0.5500684869883902,0.5517261149997822,0.5554985647948661,0.4487540274565054,0.48033490990297256,0.10055904853036329,0
18179,0.6270502488850208,0.5618800949960292,0.5842411488932288,0.4676830234098949,0.4958947534689868,0.001435502693268858,1
6834,0.45779604097468185,0.43352931476627227,0.46653306187053134,0.4142156120042343,0.4633826515229796,0.0014208026745121203,1
30716,0.5806062475556754,0.49182384036421456,0.47005664364026145,0.3979238400239384,0.4334378934185108,0.04834992729187163,0
17441,0.5787985950068762,0.585286040018878,0.5825707513852045,0.4333924955429857,0.43400639114859146,0.0014289922893490862,1
10156,0.5751929294987964,0.49674564680506667,0.5407946109806736,0.47403547359562764,0.5220598109178574,0.001356623703323711,1
2629,0.5511577606040075,0.5107079023731949,0.5503359782559712,0.4920554013756527,0.54307551303759,0.0013593533161014638,1
7699,0.26799894974377053,0.22177791550812076,0.24416917850772085,0.22013859915373296,0.24234021382494433,0.0013851857372379445,1
30473,0.5556690884987762,0.5927106847788385,0.6610819659348276,0.5263194643757974,0.5861179732934536,0.12633190733179625,0
37584,0.6256772959207092,0.5978727295816346,0.5748694036746719,0.4679000353173647,0.5030495300612648,0.07390807968468575,0
26543,0.5809560269467839,0.5946780805949952,0.5739949639970855,0.4714639707083326,0.48902726042714106,0.001420077016984757,0
35319,0.65810303894945,0.6042468645813788,0.5698875785514681,0.45666569937578644,0.4861701041306772,0.10221377622297727,0
41234,0.5360929182985115,0.5495379083815232,0.6162070584041652,0.5571091314508609,0.5911858978979088,0.331776543761307,2
4522,0.5249050270918368,0.5121526494453195,0.5727787485335286,0.5048004401283775,0.5815861764415654,0.0014733699533858802,1
16829,0.5105704984494032,0.5060609248276633,0.5502311670149403,0.49021168232438467,0.54743079235585,0.0014401481708537867,1
34169,0.5517664318279047,0.572321697646517,0.6190648103093753,0.5139943348424042,0.5524152631120284,0.11130265812414618,0
43105,0.3979782567582703,0.4157132947056582,0.46864498306057933,0.4255716863329297,0.47954386857748665,0.13484295482473463,2
28833,0.41945250803758155,0.3672093115820479,0.3701411508679333,0.31673051095233085,0.3375312136359339,0.01920844956150241,0
40315,0.6812582510295999,0.5226667500630212,0.5467131549246853,0.4798215756325976,0.5409739934037068,0.49882211758016926,2
2543,0.5338652550635387,0.516658421799807,0.5587061938380105,0.4537276580838018,0.45884781998569957,0.0014405702772439849,1
21007,0.5592692456699881,0.6455204785434447,0.6123179031270712,0.49812820613590586,0.5110347988891231,0.1149931301490671,0
10467,0.5112829100176449,0.49733795045877466,0.5433647648911709,0.4835945834710058,0.5443991416493525,0.0012838645510303195,1
43487,0.42563056686294704,0.4524418073506305,0.5123467135599922,0.4555766701084226,0.5073102283514774,0.2785054269434678,2
24996,0.412381639611552,0.4090600662242869,0.458656016089285,0.4032688609481647,0.4585853196993012,0.013641070370499418,0
46181,0.4557717271757471,0.4739452730377691,0.532370217607377,0.46744528069012625,0.5356546956926233,0.22083663863048802,2
16668,0.225916174129545,0.20251383147492136,0.24158231555879836,0.22527719411719535,0.2536671770501715,0.0014082676232939023,1
42111,0.45894039795897745,0.49348939823844157,0.5544423510325931,0.5060010629172655,0.5719859492043231,0.17174727628260447,2
15942,0.5088798980590458,0.511821907085089,0.5756046013653816,0.5109142654321159,0.5742735962089092,0.0014168417980316116,1
33766,0.6736512378150997,0.5605054766765037,0.6334791407908641,0.5271297303799073,0.5804446289533162,0.22094203348447009,0
35650,0.3991203186022044,0.34614699365619095,0.35644480270423123,0.30417690140253656,0.32320193499633093,0.014014169577850686,0
45052,0.4252454423102698,0.44030195166423114,0.49922302971322724,0.4536054786155717,0.49909685233832884,0.1201638586556182,2
21404,0.7033251075502773,0.5313053803916217,0.5334406087355866,0.4284951719481941,0.4552643623187768,0.0828911536979854,0
52525,0.5245855435535016,0.5494052323630927,0.6053932725360623,0.5458571522647729,0.6086788360585567,0.18129548035146548,2
31909,0.6215561418874133,0.5676917784462122,0.5584560645961298,0.46091331049150697,0.4990776326641802,0.07538440522311335,0
7169,0.5445551008117452,0.5856400006823338,0.596321277340164,0.4334511593309806,0.42695732276413106,0.0014126688910323713,1
29354,0.6150287626990115,0.5411414117865584,0.527255732845767,0.4391080246019167,0.4669544762292335,0.07225953325783234,0
12198,0.5960819199858987,0.5713574272982803,0.5864148428920003,0.4661533541109002,0.6683685688125282,0.0013895156426904842,1
28410,0.4777486141942497,0.41363028121629797,0.4069501498496946,0.3465758233650105,0.37357366625450583,0.03358717039676998,0
